Cycle,Round,Bet,Bet Color,Rolls,Matches,Multiplier,Result,Loss Streak,Profit,Bankroll
2,27,5,WHITE,"['PINK', 'BLUE', 'YELLOW']",0,0,LOSE,1,-5,28370.0
2,28,15,BLUE,"['YELLOW', 'GREEN', 'PINK']",0,0,LOSE,2,-15,28355.0
2,29,35,BLUE,"['WHITE', 'YELLOW', 'RED']",0,0,LOSE,3,-35,28320.0
2,30,75,BLUE,"['BLUE', 'YELLOW', 'WHITE']",1,1,WIN x1,0,75,28395.0
2,31,5,YELLOW,"['RED', 'YELLOW', 'RED']",1,1,WIN x1,0,5,28400.0
2,32,5,WHITE,"['YELLOW', 'GREEN', 'GREEN']",0,0,LOSE,1,-5,28395.0
2,33,15,RED,"['RED', 'PINK', 'RED']",2,2,WIN x2 (2 matches),0,30,28425.0
2,34,5,RED,"['WHITE', 'GREEN', 'YELLOW']",0,0,LOSE,1,-5,28420.0
2,35,15,RED,"['YELLOW', 'BLUE', 'RED']",1,1,WIN x1,0,15,28435.0
2,36,5,YELLOW,"['WHITE', 'PINK', 'YELLOW']",1,1,WIN x1,0,5,28440.0
2,37,5,YELLOW,"['BLUE', 'BLUE', 'WHITE']",0,0,LOSE,1,-5,28435.0
2,38,15,WHITE,"['BLUE', 'PINK', 'YELLOW']",0,0,LOSE,2,-15,28420.0
2,39,35,BLUE,"['PINK', 'YELLOW', 'BLUE']",1,1,WIN x1,0,35,28455.0
2,40,5,RED,"['PINK', 'GREEN', 'BLUE']",0,0,LOSE,1,-5,28450.0
2,41,15,YELLOW,"['WHITE', 'PINK', 'YELLOW']",1,1,WIN x1,0,15,28465.0
2,42,5,BLUE,"['WHITE', 'PINK', 'WHITE']",0,0,LOSE,1,-5,28460.0
2,43,15,GREEN,"['GREEN', 'RED', 'YELLOW']",1,1,WIN x1,0,15,28475.0
2,44,5,YELLOW,"['RED', 'RED', 'GREEN']",0,0,LOSE,1,-5,28470.0
2,45,15,BLUE,"['RED', 'BLUE', 'GREEN']",1,1,WIN x1,0,15,28485.0
2,46,5,RED,"['RED', 'BLUE', 'PINK']",1,1,WIN x1,0,5,28490.0
2,47,5,WHITE,"['BLUE', 'WHITE', 'YELLOW']",1,1,WIN x1,0,5,28495.0
2,48,5,YELLOW,"['RED', 'BLUE', 'BLUE']",0,0,LOSE,1,-5,28490.0
2,49,15,PINK,"['RED', 'GREEN', 'WHITE']",0,0,LOSE,2,-15,28475.0
2,50,35,PINK,"['GREEN', 'YELLOW', 'BLUE']",0,0,LOSE,3,-35,28440.0
2,51,75,YELLOW,"['YELLOW', 'GREEN', 'GREEN']",1,1,WIN x1,0,75,28515.0
2,52,5,GREEN,"['YELLOW', 'PINK', 'BLUE']",0,0,LOSE,1,-5,28510.0
2,53,15,WHITE,"['YELLOW', 'BLUE', 'YELLOW']",0,0,LOSE,2,-15,28495.0
2,54,35,BLUE,"['GREEN', 'GREEN', 'YELLOW']",0,0,LOSE,3,-35,28460.0
2,55,75,PINK,"['BLUE', 'YELLOW', 'RED']",0,0,LOSE,4,-75,28385.0
2,56,155,PINK,"['YELLOW', 'PINK', 'PINK']",2,2,WIN x2 (2 matches),0,310,28695.0
2,57,5,WHITE,"['PINK', 'YELLOW', 'BLUE']",0,0,LOSE,1,-5,28690.0
2,58,15,WHITE,"['BLUE', 'WHITE', 'YELLOW']",1,1,WIN x1,0,15,28705.0
2,59,5,YELLOW,"['WHITE', 'RED', 'YELLOW']",1,1,WIN x1,0,5,28710.0
2,60,5,WHITE,"['WHITE', 'RED', 'YELLOW']",1,1,WIN x1,0,5,28715.0
2,61,5,RED,"['PINK', 'WHITE', 'GREEN']",0,0,LOSE,1,-5,28710.0
2,62,15,BLUE,"['WHITE', 'GREEN', 'RED']",0,0,LOSE,2,-15,28695.0
2,63,35,BLUE,"['GREEN', 'YELLOW', 'RED']",0,0,LOSE,3,-35,28660.0
2,64,75,BLUE,"['RED', 'GREEN', 'WHITE']",0,0,LOSE,4,-75,28585.0
2,65,155,BLUE,"['RED', 'BLUE', 'YELLOW']",1,1,WIN x1,0,155,28740.0
2,66,5,RED,"['YELLOW', 'GREEN', 'BLUE']",0,0,LOSE,1,-5,28735.0
2,67,15,WHITE,"['PINK', 'WHITE', 'RED']",1,1,WIN x1,0,15,28750.0
2,68,5,RED,"['RED', 'WHITE', 'WHITE']",1,1,WIN x1,0,5,28755.0
2,69,5,YELLOW,"['GREEN', 'BLUE', 'BLUE']",0,0,LOSE,1,-5,28750.0
2,70,15,BLUE,"['BLUE', 'RED', 'WHITE']",1,1,WIN x1,0,15,28765.0
2,71,5,RED,"['PINK', 'GREEN', 'PINK']",0,0,LOSE,1,-5,28760.0
2,72,15,WHITE,"['WHITE', 'WHITE', 'PINK']",2,2,WIN x2 (2 matches),0,30,28790.0
2,73,5,GREEN,"['WHITE', 'GREEN', 'PINK']",1,1,WIN x1,0,5,28795.0
2,74,5,WHITE,"['YELLOW', 'WHITE', 'PINK']",1,1,WIN x1,0,5,28800.0
2,75,5,BLUE,"['YELLOW', 'WHITE', 'YELLOW']",0,0,LOSE,1,-5,28795.0
2,76,15,GREEN,"['BLUE', 'BLUE', 'WHITE']",0,0,LOSE,2,-15,28780.0
2,77,35,YELLOW,"['BLUE', 'PINK', 'GREEN']",0,0,LOSE,3,-35,28745.0
2,78,75,PINK,"['BLUE', 'RED', 'WHITE']",0,0,LOSE,4,-75,28670.0
2,79,155,YELLOW,"['WHITE', 'YELLOW', 'WHITE']",1,1,WIN x1,0,155,28825.0
2,80,5,YELLOW,"['YELLOW', 'RED', 'PINK']",1,1,WIN x1,0,5,28830.0
2,81,5,GREEN,"['WHITE', 'WHITE', 'PINK']",0,0,LOSE,1,-5,28825.0
2,82,15,WHITE,"['BLUE', 'RED', 'GREEN']",0,0,LOSE,2,-15,28810.0
2,83,35,YELLOW,"['YELLOW', 'YELLOW', 'PINK']",2,2,WIN x2 (2 matches),0,70,28880.0
2,84,5,BLUE,"['GREEN', 'PINK', 'BLUE']",1,1,WIN x1,0,5,28885.0
2,85,5,YELLOW,"['BLUE', 'YELLOW', 'WHITE']",1,1,WIN x1,0,5,28890.0
2,86,5,BLUE,"['PINK', 'GREEN', 'GREEN']",0,0,LOSE,1,-5,28885.0
2,87,15,GREEN,"['BLUE', 'YELLOW', 'GREEN']",1,1,WIN x1,0,15,28900.0
2,88,5,BLUE,"['RED', 'WHITE', 'YELLOW']",0,0,LOSE,1,-5,28895.0
2,89,15,RED,"['GREEN', 'BLUE', 'GREEN']",0,0,LOSE,2,-15,28880.0
2,90,35,WHITE,"['BLUE', 'WHITE', 'RED']",1,1,WIN x1,0,35,28915.0
2,91,5,YELLOW,"['RED', 'BLUE', 'YELLOW']",1,1,WIN x1,0,5,28920.0
2,92,5,BLUE,"['GREEN', 'WHITE', 'PINK']",0,0,LOSE,1,-5,28915.0
2,93,15,GREEN,"['YELLOW', 'GREEN', 'WHITE']",1,1,WIN x1,0,15,28930.0
2,94,5,RED,"['RED', 'YELLOW', 'BLUE']",1,1,WIN x1,0,5,28935.0
2,95,5,BLUE,"['PINK', 'BLUE', 'BLUE']",2,2,WIN x2 (2 matches),0,10,28945.0
2,96,5,GREEN,"['GREEN', 'RED', 'RED']",1,1,WIN x1,0,5,28950.0
2,97,5,RED,"['YELLOW', 'WHITE', 'BLUE']",0,0,LOSE,1,-5,28945.0
2,98,15,BLUE,"['WHITE', 'RED', 'BLUE']",1,1,WIN x1,0,15,28960.0
2,99,5,GREEN,"['WHITE', 'GREEN', 'RED']",1,1,WIN x1,0,5,28965.0
2,100,5,GREEN,"['YELLOW', 'GREEN', 'PINK']",1,1,WIN x1,0,5,28970.0
3,1,5,RED,"['YELLOW', 'RED', 'YELLOW']",1,1,WIN x1,0,5,28975.0
3,2,5,BLUE,"['YELLOW', 'BLUE', 'GREEN']",1,1,WIN x1,0,5,28980.0
3,3,5,RED,"['PINK', 'PINK', 'BLUE']",0,0,LOSE,1,-5,28975.0
3,4,15,BLUE,"['GREEN', 'PINK', 'GREEN']",0,0,LOSE,2,-15,28960.0
3,5,35,PINK,"['PINK', 'BLUE', 'RED']",1,1,WIN x1,0,35,28995.0
3,6,5,YELLOW,"['BLUE', 'YELLOW', 'RED']",1,1,WIN x1,0,5,29000.0
3,7,5,PINK,"['PINK', 'PINK', 'YELLOW']",2,2,WIN x2 (2 matches),0,10,29010.0
3,8,5,YELLOW,"['GREEN', 'BLUE', 'PINK']",0,0,LOSE,1,-5,29005.0
3,9,15,GREEN,"['PINK', 'GREEN', 'GREEN']",2,2,WIN x2 (2 matches),0,30,29035.0
3,10,5,YELLOW,"['WHITE', 'YELLOW', 'YELLOW']",2,2,WIN x2 (2 matches),0,10,29045.0
3,11,5,YELLOW,"['GREEN', 'WHITE', 'GREEN']",0,0,LOSE,1,-5,29040.0
3,12,15,YELLOW,"['GREEN', 'GREEN', 'BLUE']",0,0,LOSE,2,-15,29025.0
3,13,35,BLUE,"['PINK', 'PINK', 'PINK']",0,0,LOSE,3,-35,28990.0
3,14,75,GREEN,"['YELLOW', 'GREEN', 'BLUE']",1,1,WIN x1,0,75,29065.0
3,15,5,YELLOW,"['WHITE', 'GREEN', 'GREEN']",0,0,LOSE,1,-5,29060.0
3,16,15,WHITE,"['RED', 'PINK', 'YELLOW']",0,0,LOSE,2,-15,29045.0
3,17,35,RED,"['GREEN', 'YELLOW', 'YELLOW']",0,0,LOSE,3,-35,29010.0
3,18,75,YELLOW,"['WHITE', 'BLUE', 'BLUE']",0,0,LOSE,4,-75,28935.0
3,19,155,BLUE,"['PINK', 'RED', 'PINK']",0,0,LOSE,5,-155,28780.0
3,20,315,WHITE,"['YELLOW', 'YELLOW', 'YELLOW']",0,0,LOSE,6,-315,28465.0
3,21,635,GREEN,"['BLUE', 'WHITE', 'BLUE']",0,0,LOSE,7,-635,27830.0
3,22,1275,BLUE,"['GREEN', 'GREEN', 'GREEN']",0,0,LOSE,8,-1275,26555.0
3,23,2555,WHITE,"['WHITE', 'PINK', 'YELLOW']",1,1,WIN x1,0,2555,29110.0
3,24,5,RED,"['YELLOW', 'PINK', 'RED']",1,1,WIN x1,0,5,29115.0
3,25,5,YELLOW,"['WHITE', 'GREEN', 'YELLOW']",1,1,WIN x1,0,5,29120.0
3,26,5,GREEN,"['BLUE', 'RED', 'WHITE']",0,0,LOSE,1,-5,29115.0
3,27,15,YELLOW,"['YELLOW', 'YELLOW', 'WHITE']",2,2,WIN x2 (2 matches),0,30,29145.0
3,28,5,BLUE,"['WHITE', 'RED', 'BLUE']",1,1,WIN x1,0,5,29150.0
3,29,5,WHITE,"['RED', 'GREEN', 'RED']",0,0,LOSE,1,-5,29145.0
3,30,15,RED,"['YELLOW', 'PINK', 'RED']",1,1,WIN x1,0,15,29160.0
3,31,5,WHITE,"['WHITE', 'YELLOW', 'YELLOW']",1,1,WIN x1,0,5,29165.0
3,32,5,BLUE,"['RED', 'BLUE', 'PINK']",1,1,WIN x1,0,5,29170.0
3,33,5,BLUE,"['WHITE', 'GREEN', 'GREEN']",0,0,LOSE,1,-5,29165.0
3,34,15,PINK,"['PINK', 'WHITE', 'GREEN']",1,1,WIN x1,0,15,29180.0
3,35,5,BLUE,"['PINK', 'BLUE', 'PINK']",1,1,WIN x1,0,5,29185.0
3,36,5,GREEN,"['PINK', 'PINK', 'WHITE']",0,0,LOSE,1,-5,29180.0
3,37,15,RED,"['YELLOW', 'BLUE', 'YELLOW']",0,0,LOSE,2,-15,29165.0
3,38,35,BLUE,"['GREEN', 'PINK', 'YELLOW']",0,0,LOSE,3,-35,29130.0
3,39,75,GREEN,"['WHITE', 'BLUE', 'WHITE']",0,0,LOSE,4,-75,29055.0
3,40,155,PINK,"['WHITE', 'WHITE', 'BLUE']",0,0,LOSE,5,-155,28900.0
3,41,315,PINK,"['GREEN', 'GREEN', 'PINK']",1,1,WIN x1,0,315,29215.0
3,42,5,RED,"['GREEN', 'RED', 'WHITE']",1,1,WIN x1,0,5,29220.0
3,43,5,PINK,"['RED', 'BLUE', 'GREEN']",0,0,LOSE,1,-5,29215.0
3,44,15,BLUE,"['PINK', 'YELLOW', 'YELLOW']",0,0,LOSE,2,-15,29200.0
3,45,35,WHITE,"['BLUE', 'BLUE', 'BLUE']",0,0,LOSE,3,-35,29165.0
3,46,75,RED,"['RED', 'RED', 'PINK']",2,2,WIN x2 (2 matches),0,150,29315.0
3,47,5,BLUE,"['WHITE', 'BLUE', 'YELLOW']",1,1,WIN x1,0,5,29320.0
3,48,5,GREEN,"['RED', 'WHITE', 'RED']",0,0,LOSE,1,-5,29315.0
3,49,15,PINK,"['RED', 'GREEN', 'PINK']",1,1,WIN x1,0,15,29330.0
3,50,5,WHITE,"['YELLOW', 'GREEN', 'GREEN']",0,0,LOSE,1,-5,29325.0
3,51,15,WHITE,"['WHITE', 'WHITE', 'BLUE']",2,2,WIN x2 (2 matches),0,30,29355.0
3,52,5,WHITE,"['GREEN', 'YELLOW', 'YELLOW']",0,0,LOSE,1,-5,29350.0
3,53,15,BLUE,"['WHITE', 'BLUE', 'BLUE']",2,2,WIN x2 (2 matches),0,30,29380.0
3,54,5,YELLOW,"['RED', 'WHITE', 'BLUE']",0,0,LOSE,1,-5,29375.0
3,55,15,BLUE,"['PINK', 'PINK', 'YELLOW']",0,0,LOSE,2,-15,29360.0
3,56,35,RED,"['YELLOW', 'YELLOW', 'RED']",1,1,WIN x1,0,35,29395.0
3,57,5,RED,"['RED', 'WHITE', 'PINK']",1,1,WIN x1,0,5,29400.0
3,58,5,PINK,"['YELLOW', 'WHITE', 'PINK']",1,1,WIN x1,0,5,29405.0
3,59,5,WHITE,"['PINK', 'GREEN', 'PINK']",0,0,LOSE,1,-5,29400.0
3,60,15,PINK,"['YELLOW', 'GREEN', 'GREEN']",0,0,LOSE,2,-15,29385.0
3,61,35,BLUE,"['GREEN', 'RED', 'BLUE']",1,1,WIN x1,0,35,29420.0
3,62,5,BLUE,"['BLUE', 'RED', 'WHITE']",1,1,WIN x1,0,5,29425.0
3,63,5,YELLOW,"['BLUE', 'YELLOW', 'YELLOW']",2,2,WIN x2 (2 matches),0,10,29435.0
3,64,5,PINK,"['GREEN', 'RED', 'WHITE']",0,0,LOSE,1,-5,29430.0
3,65,15,RED,"['RED', 'RED', 'YELLOW']",2,2,WIN x2 (2 matches),0,30,29460.0
3,66,5,RED,"['BLUE', 'GREEN', 'PINK']",0,0,LOSE,1,-5,29455.0
3,67,15,RED,"['WHITE', 'WHITE', 'GREEN']",0,0,LOSE,2,-15,29440.0
3,68,35,BLUE,"['RED', 'RED', 'PINK']",0,0,LOSE,3,-35,29405.0
3,69,75,GREEN,"['BLUE', 'RED', 'BLUE']",0,0,LOSE,4,-75,29330.0
3,70,155,PINK,"['PINK', 'PINK', 'GREEN']",2,2,WIN x2 (2 matches),0,310,29640.0
3,71,5,BLUE,"['BLUE', 'WHITE', 'BLUE']",2,2,WIN x2 (2 matches),0,10,29650.0
3,72,5,BLUE,"['YELLOW', 'RED', 'BLUE']",1,1,WIN x1,0,5,29655.0
3,73,5,YELLOW,"['PINK', 'YELLOW', 'BLUE']",1,1,WIN x1,0,5,29660.0
3,74,5,WHITE,"['GREEN', 'BLUE', 'RED']",0,0,LOSE,1,-5,29655.0
3,75,15,RED,"['RED', 'GREEN', 'YELLOW']",1,1,WIN x1,0,15,29670.0
3,76,5,RED,"['YELLOW', 'RED', 'GREEN']",1,1,WIN x1,0,5,29675.0
3,77,5,PINK,"['BLUE', 'WHITE', 'YELLOW']",0,0,LOSE,1,-5,29670.0
3,78,15,RED,"['GREEN', 'BLUE', 'WHITE']",0,0,LOSE,2,-15,29655.0
3,79,35,GREEN,"['BLUE', 'YELLOW', 'WHITE']",0,0,LOSE,3,-35,29620.0
3,80,75,BLUE,"['WHITE', 'GREEN', 'PINK']",0,0,LOSE,4,-75,29545.0
3,81,155,BLUE,"['YELLOW', 'BLUE', 'YELLOW']",1,1,WIN x1,0,155,29700.0
3,82,5,GREEN,"['BLUE', 'YELLOW', 'WHITE']",0,0,LOSE,1,-5,29695.0
3,83,15,YELLOW,"['RED', 'PINK', 'WHITE']",0,0,LOSE,2,-15,29680.0
3,84,35,GREEN,"['GREEN', 'PINK', 'WHITE']",1,1,WIN x1,0,35,29715.0
3,85,5,GREEN,"['PINK', 'RED', 'GREEN']",1,1,WIN x1,0,5,29720.0
3,86,5,GREEN,"['WHITE', 'RED', 'WHITE']",0,0,LOSE,1,-5,29715.0
3,87,15,RED,"['RED', 'BLUE', 'GREEN']",1,1,WIN x1,0,15,29730.0
3,88,5,PINK,"['PINK', 'WHITE', 'PINK']",2,2,WIN x2 (2 matches),0,10,29740.0
3,89,5,YELLOW,"['YELLOW', 'PINK', 'YELLOW']",2,2,WIN x2 (2 matches),0,10,29750.0
3,90,5,WHITE,"['GREEN', 'RED', 'WHITE']",1,1,WIN x1,0,5,29755.0
3,91,5,YELLOW,"['WHITE', 'BLUE', 'PINK']",0,0,LOSE,1,-5,29750.0
3,92,15,GREEN,"['GREEN', 'WHITE', 'RED']",1,1,WIN x1,0,15,29765.0
3,93,5,BLUE,"['PINK', 'GREEN', 'WHITE']",0,0,LOSE,1,-5,29760.0
3,94,15,WHITE,"['YELLOW', 'YELLOW', 'PINK']",0,0,LOSE,2,-15,29745.0
3,95,35,PINK,"['BLUE', 'PINK', 'BLUE']",1,1,WIN x1,0,35,29780.0
3,96,5,PINK,"['YELLOW', 'BLUE', 'RED']",0,0,LOSE,1,-5,29775.0
3,97,15,GREEN,"['YELLOW', 'RED', 'GREEN']",1,1,WIN x1,0,15,29790.0
3,98,5,YELLOW,"['BLUE', 'PINK', 'WHITE']",0,0,LOSE,1,-5,29785.0
3,99,15,RED,"['PINK', 'BLUE', 'BLUE']",0,0,LOSE,2,-15,29770.0
